Clube,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total
São Paulo,78,82,58,78,77,75,65,55,59,66,50,70,62,52,50,63,63,1103
Santos,87,89,59,64,62,45,49,56,53,53,57,53,58,71,63,50,74,1043
Cruzeiro,100,56,60,53,60,67,62,69,43,52,76,80,55,51,57,53,36,1030
Flamengo,66,54,55,52,61,64,67,44,61,50,45,52,49,71,56,72,90,1009
Corinthians,59,74,81,53,44,,52,68,71,57,50,69,81,55,72,44,56,986
Internacional,72,67,78,69,54,54,65,58,60,52,48,69,60,43,,69,57,975
Grêmio,50,39,,67,58,72,55,63,48,71,65,61,68,53,62,66,65,963
Fluminense,52,67,68,45,61,45,46,71,63,77,46,61,47,50,47,45,46,937
Atlético Mineiro,72,53,47,,55,48,56,45,45,72,57,62,69,62,54,59,48,904
Palmeiras,,79,70,44,58,65,62,50,50,34,,40,53,80,63,80,74,902
Atlético Paranaense,61,86,61,48,54,45,48,60,41,,64,54,51,57,51,57,64,902
Botafogo,,51,59,51,55,53,47,59,56,55,61,34,,59,53,51,43,787
Vasco da Gama,54,54,56,59,54,40,,49,69,58,44,,41,,56,43,49,726
Goiás,65,72,74,55,45,53,55,33,,,59,47,38,,,,52,648
Coritiba,73,62,49,,,53,45,,57,48,48,47,44,46,43,,,615
Figueirense,65,63,53,57,53,44,,,58,30,,47,43,37,,,,550
Ponte Preta,50,64,51,39,,,,,,48,37,,51,53,39,,,432
Vitória,56,48,,,,52,48,42,,,59,38,,45,43,37,,468
Sport,,,,,51,52,31,,,41,,52,59,47,45,39 [b],,417
Bahia,46,,,,,,,,46,47,48,37,,,50,48,49,371
Paraná,65,54,61,60,41,,,,,,,,,,,23,,304
Chapecoense,,,,,,,,,,,,43,47,52,54,44,32,272
Juventude,53,70,55,47,41,,,,,,,,,,,,,266
Avaí,,,,,,,57,43,31,,,,42,,43,,20,236
São Caetano,74,53,52,36,,,,,,,,,,,,,,212
Náutico,,,,,49,44,38,,,49,20,,,,,,,200
Fortaleza,49,,55,38,,,,,,,,,,,,,53,195
Criciúma,60,50,,,,,,,,,46,32,,,,,,188
Ceará,,,,,,,,47,39,,,,,,,44,39,169
Atlético Goianiense,,,,,,,,42,48,30,,,,,36,,,156
Guarani,61,49,,,,,,37,,,,,,,,,,147
Paysandu,49,56,41,,,,,,,,,,,,,,,146
Portuguesa,,,,,,38,,,,45,44,,,,,,,127
América Mineiro,,,,,,,,,37,,,,,28,,,40,105
Grêmio Barueri,,,,,,,49,28,,,,,,,,,,77
Santa Cruz,,,,28,,,,,,,,,,28 [a],,,,56
Santo André,,,,,,,41,,,,,,,,,,,41
Brasiliense,,,41,,,,,,,,,,,,,,,41
Ipatinga,,,,,,35,,,,,,,,,,,,35
CSA,,,,,,,,,,,,,,,,,32,32
Joinville,,,,,,,,,,,,,31,,,,,31
América de Natal,,,,,17,,,,,,,,,,,,,17
